shoe_id,name,brand,player,release_date,description,shoe_type,retail_price
294,Nike Kyrie Low,Nike,Kyrie Irving,2018-07-01,Perfect for guards who want maximum traction and don't need a lot of cushioning,Low Top,109.99
295,Adidas D Rose 9,Adidas,Derrick Rose,2018-07-01,Great looking sneaker for players with wide feet,High Top,139.99
296,Nike PG 2.5,Nike,Paul George,2018-07-01,Perfect if you are looking for an affordable all-around performer without any weaknesses.,Low Top,109.99
297,Nike Hyperdunk X,Nike,,2018-07-01,Works best on clean courts,High Top,129.99
298,Nike Hyperdunk X Low,Nike,,2018-07-01,A solid performer that should work across a wide array of playing styles.,Low Top,119.99
299,Jordan Fly Lockdown,Jordan,,2018-05-01,Good all-around performance basketball shoe at a fair price,Mid Top,109.99
300,Jordan CP3 XI,Jordan,Chris Paul,2018-04-01,Perfect if you are looking for an affordable all-around performer with no weaknesses,Mid Top,114.99
301,Under Armour Curry 5,Under Armour,Stephen Curry,2018-04-01,Only for the biggest Curry fans,Mid Top,129.99
302,Adidas Crazylight Boost 2018,Adidas,,2018-04-01,Top performer that works best for quick guards,Low Top,119.99
303,Nike Zoom Kobe 1 Protro,Nike,Kobe Bryant,2018-04-01,Perfect if you like old-school basketball sneakers,High Top,174.99
304,Nike Kobe AD NXT 360,Nike,Kobe Bryant,2018-04-01,"Best for players looking for flashy, cutting-edge performance shoes",Low Top,199.99
305,Nike Lebron Soldier 12,Nike,Lebron James,2018-04-01,An affordable performer that will work for almost all players,High Top,139.99
306,Nike Kyrie Flytrap,Nike,Kyrie Irving,2018-03-01,Works well for wide-footers or if you are looking for a cheap outdoors shoe,Mid Top,79.99
307,Nike Lebron 15 Low,Nike,Lebron James,2018-03-01,Great shoe for explosive and heavier players,Low Top,149.99
308,Nike PG 2,Nike,Paul George,2018-02-01,Affordable all-around performer without any weaknesses.,Low Top,109.99
309,Adidas Harden Vol. 2,Adidas,James Harden,2018-02-01,Works especially well for bigger guards and heavier players,Low Top,139.99
310,Adidas Crazy BYW X,Adidas,,2018-02-01,Works best for players of all positions who have narrow feet,High Top,179.99
311,Jordan Why Not Zero.1,Jordan,Russell Westbrook,2018-01-01,Best for explosive and powerful players,Mid Top,124.99
312,Nike Kyrie 4,Nike,Kyrie Irving,2017-12-01,"Affordable, well-rounded basketball shoe",Mid Top,119.99
313,Li-Ning Way of Wade 6,Li-Ning,Dwyane Wade,2017-12-01,Great shoe for players with slightly wider feet,Low Top,154.99
314,Nike Kyrie S1,Nike,Kyrie Irving,2017-12-01,For Kyrie fans who don't mind paying premium to get these from resellers,Mid Top,129.99
315,Under Armour Curry 4 Low,Under Armour,Stephen Curry,2017-12-01,Perfect shoe for quick guards,Low Top,119.99
