store_id,shoe_id,price,link
4,36,225.0,https://www.anrdoezrs.net/click-8756460-15266129?url=https%3A%2F%2Fwayofwade.com%2Fproducts%2Fway-of-wade-11-white-hot%3Fvariant%3D45577370894551&sid=price_comp_price
5,36,91.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=ABAU049-8-75&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fli-ning-way-of-wade-11-sunshine-state-abau049-8%3Fcurrency%3DUSD%26variant%3D44073426649283&intsrc=CATF_11961&subid1=price_comp_price
6,37,62.97,https://www.jdoqocy.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fadidas-d-o-nissue-6-basketball-shoes-24adiadnss6spdrbtmns%2F24adiadnss6spdrbtmns%3Fsku%3D25428104&subid1=price_comp_price
7,37,94.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=IG903910&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FIG9039.html&intsrc=CATF_5705&subid1=price_comp_price
1,37,120.0,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=IG903910&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FIG9039.html&intsrc=CATF_5700&subid1=price_comp_price
6,38,62.97,https://www.jdoqocy.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-sabrina-2-basketball-shoes-24nikwsbrn2mghtyxsow%2F24nikwsbrn2mghtyxsow%3Fsku%3D25976921&subid1=price_comp_price
1,38,79.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=Q217410215&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FQ2174102.html&intsrc=CATF_5700&subid1=price_comp_price
7,38,130.0,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=Q217400410&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FQ2174004.html&intsrc=CATF_5705&subid1=price_comp_price
1,39,129.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=HJ98310010&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FHJ983100.html&intsrc=CATF_5700&subid1=price_comp_price
3,39,133.97,https://www.dpbolvw.net/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Fgt-hustle-3-basketball-shoes-8sVd8N%2FFV5953-800%3Fnikegos%3Dtrue&sid=price_comp_price
6,39,189.99,https://www.jdoqocy.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-g-thustle-3-basketball-shoes-24nikagthstl3rngxmnk%2F24nikagthstl3rngxmnk%3Fsku%3D26278176&subid1=price_comp_price
5,41,60.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=ABAU031-9-80&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fli-ning-wade-808-4-ultra-shinning-glory-abau031-9%3Fcurrency%3DUSD%26variant%3D43824178921667&intsrc=CATF_11961&subid1=price_comp_price
6,42,134.97,https://www.kqzyfj.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-kobe-8-protro-basketball-shoes-24nikakbvprtrwhtpmnk%2F24nikakbvprtrwhtpmnk%3Fsku%3D25707209&subid1=price_comp_price
1,42,180.0,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=F95500017.5&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FF9550001.html&intsrc=CATF_5700&subid1=price_comp_price
5,42,123.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=FJ9364-100-105&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fnike-kobe-8-protro-triple-white-fj9364-100%3Fcurrency%3DUSD%26variant%3D42461940875459&intsrc=CATF_11961&subid1=price_comp_price
6,44,40.97,https://www.tkqlhce.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fpuma-womens-stewie-basketball-shoes-24pumwstwwhtblxxxftw%2F24pumwstwwhtblxxxftw%3Fsku%3D25446659&subid1=price_comp_price
6,46,77.97,https://www.kqzyfj.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnew-balance-kawhi-iv-basketball-shoes-24nwbakwh4thgmxxxmns%2F24nwbakwh4thgmxxxmns%3Fsku%3D24729485&subid1=price_comp_price
5,46,123.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=BBKLSWG4-60&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fnew-balance-kawhi-4-transcend-greatness-bbklswg4%3Fcurrency%3DUSD%26variant%3D44040101494979&intsrc=CATF_11961&subid1=price_comp_price
6,47,68.97,https://www.kqzyfj.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-kd17-basketball-shoes-24nikakd17trvlbllmnk%2F24nikakd17trvlbllmnk%3Fsku%3D25420524&subid1=price_comp_price
1,47,104.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=F948700210&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FF9487002.html&intsrc=CATF_5700&subid1=price_comp_price
